match_index,Date,HomeTeam,AwayTeam,predicted,predicted_pct,fair_odds,max_bookie_odds,max_bookie,stake,profit,capital_after,pred_correct
3,2023-08-19,Genoa,Fiorentina,Away,0.6644865406880014,1.504921377285704,2.25,BWA,1.0,1.25,1.25,True
6,2023-08-20,Sassuolo,Atalanta,Away,0.6130426419443196,1.6312078990596977,2.18,PSA,1.0,1.1800000000000002,2.43,True
7,2023-08-20,Lecce,Lazio,Away,0.6022560662398164,1.6604232917793529,2.14,PSA,1.0,-1.0,1.43,False
8,2023-08-20,Udinese,Juventus,Away,0.6644232319095933,1.505064771931497,1.95,IWA,1.0,0.95,2.38,True
10,2023-08-21,Bologna,Milan,Away,0.6691956785333368,1.4943312278879035,2.01,PSA,1.0,1.0099999999999998,3.39,True
19,2023-08-28,Salernitana,Udinese,Home,0.4850067224124458,2.0618270918513333,2.8,PSH,1.0,-1.0,2.39,False
22,2023-09-01,Roma,Milan,Away,0.6429594095590232,1.5553081347481248,2.76,PSA,1.0,1.7599999999999998,4.15,True
28,2023-09-03,Torino,Genoa,Home,0.6089536245967526,1.6421611755118417,2.09,PSH,1.0,1.0899999999999999,5.24,True
42,2023-09-22,Lecce,Genoa,Home,0.5613245671668222,1.7815005052198367,2.49,PSH,1.0,1.4900000000000002,6.73,True
48,2023-09-24,Udinese,Fiorentina,Away,0.5433664809405937,1.840378519979649,2.37,PSA,1.0,1.37,8.1,True
50,2023-09-24,Torino,Roma,Home,0.4077288029001597,2.4526106394422897,3.1,B365H,1.0,-1.0,7.1,False
71,2023-10-06,Empoli,Udinese,Draw,0.3835292223051847,2.607363251200381,3.4,WHD,1.0,2.4,9.5,True
72,2023-10-06,Lecce,Sassuolo,Away,0.4518096623561889,2.213321412350937,2.8,PSA,1.0,-1.0,8.5,False
74,2023-10-07,Juventus,Torino,Home,0.6447518254642726,1.550984364068951,1.95,IWH,1.0,0.95,9.45,True
75,2023-10-07,Genoa,Milan,Away,0.7327411932351041,1.3647383404021949,1.95,BWA,1.0,0.95,10.4,True
78,2023-10-08,Lazio,Atalanta,Home,0.5252645397140158,1.9038026068625489,2.93,PSH,1.0,1.9300000000000002,12.33,True
83,2023-10-21,Sassuolo,Lazio,Away,0.6191375868058661,1.6151498815618754,2.57,PSA,1.0,1.5699999999999998,13.9,True
89,2023-10-23,Udinese,Lecce,Draw,0.4002702761837476,2.4983119144748613,3.3,B365D,1.0,2.3,16.2,True
93,2023-10-28,Lecce,Torino,Away,0.4895591653410445,2.042654025899738,2.94,PSA,1.0,1.94,18.14,True
100,2023-10-30,Lazio,Fiorentina,Home,0.5759667797230589,1.7362112455180632,2.31,PSH,1.0,1.31,19.45,True
101,2023-11-03,Bologna,Lazio,Home,0.4637110022529018,2.156515577895677,2.76,PSH,1.0,1.7599999999999998,21.21,True
103,2023-11-04,Atalanta,Inter,Away,0.6132707914178442,1.6306010558371151,2.2,IWA,1.0,1.2000000000000002,22.41,True
108,2023-11-05,Fiorentina,Juventus,Away,0.5398515754177078,1.852360992419545,2.58,PSA,1.0,1.58,23.99,True
119,2023-11-12,Lazio,Roma,Home,0.5612867456212439,1.781620549213538,3.0,B365H,1.0,-1.0,22.99,False
123,2023-11-25,Milan,Fiorentina,Home,0.6238343827919147,1.602989555536503,2.15,PSH,1.0,1.15,24.14,True
124,2023-11-26,Cagliari,Monza,Away,0.5136941856331542,1.946683509309044,2.63,PSA,1.0,-1.0,23.14,False
128,2023-11-26,Juventus,Inter,Home,0.4005570510656526,2.4965232726263924,3.5,PSH,1.0,-1.0,22.14,False
146,2023-12-10,Monza,Genoa,Home,0.5748886989317666,1.7394671383489653,2.21,PSH,1.0,1.21,23.35,True
147,2023-12-10,Salernitana,Bologna,Away,0.6093518465291812,1.6410879948849242,2.12,PSA,1.0,1.12,24.47,True
158,2023-12-17,Bologna,Roma,Home,0.5592408520429765,1.7881383242066016,2.46,PSH,1.0,1.46,25.93,True
166,2023-12-23,Bologna,Atalanta,Home,0.568879548874897,1.757841360227754,2.78,PSH,1.0,1.7799999999999998,27.71,True
170,2023-12-23,Roma,Napoli,Home,0.4215204872354558,2.372363930774765,3.05,PSH,1.0,2.05,29.76,True
172,2023-12-29,Fiorentina,Torino,Home,0.5764699371353814,1.7346958368189014,2.2,BWH,1.0,1.2000000000000002,30.96,True
180,2023-12-30,Juventus,Roma,Home,0.6096707228825342,1.6402296558902842,2.12,PSH,1.0,1.12,32.08,True
181,2024-01-05,Bologna,Genoa,Home,0.6624583583716762,1.5095288441344474,2.09,PSH,1.0,-1.0,31.08,False
